#WINDOWS LOG
EventID: 4625 | Time: 2024-01-10 03:45:22 | User: Administrator | IP: 192.168.1.105 | Status: Failure
EventID: 4625 | Time: 2024-01-10 03:45:23 | User: Administrator | IP: 192.168.1.105 | Status: Failure
EventID: 4625 | Time: 2024-01-10 03:45:24 | User: Administrator | IP: 192.168.1.105 | Status: Failure
EventID: 4624 | Time: 2024-01-10 03:46:10 | User: john | IP: 10.0.0.2 | Status: Success
EventID: 4625 | Time: 2024-01-10 04:12:33 | User: admin | IP: 203.0.113.42 | Status: Failure
EventID: 4625 | Time: 2024-01-10 04:12:34 | User: admin | IP: 203.0.113.42 | Status: Failure
EventID: 4625 | Time: 2024-01-10 04:12:35 | User: admin | IP: 203.0.113.42 | Status: Failure
EventID: 4634 | Time: 2024-01-10 04:13:00 | User: john | IP: 10.0.0.2 | Status: Logout
EventID: 4625 | Time: 2024-01-10 05:00:00 | User: Administrator | IP: 45.33.32.156 | Status: Failure
EventID: 4625 | Time: 2024-01-10 05:00:01 | User: Administrator | IP: 45.33.32.156 | Status: Failure
EventID: 4625 | Time: 2024-01-10 05:00:02 | User: Administrator | IP: 45.33.32.156 | Status: Failure
EventID: 4625 | Time: 2024-01-10 05:00:03 | User: Administrator | IP: 45.33.32.156 | Status: Failure
EventID: 4624 | Time: 2024-01-10 05:01:00 | User: alice | IP: 10.0.0.5 | Status: Success
EventID: 4625 | Time: 2024-01-10 06:00:00 | User: admin | IP: 80.82.77.33 | Status: Failure
EventID: 4625 | Time: 2024-01-10 06:00:01 | User: admin | IP: 80.82.77.33 | Status: Failure
EventID: 4625 | Time: 2024-01-10 06:00:02 | User: admin | IP: 80.82.77.33 | Status: Failure
EventID: 4625 | Time: 2024-01-10 06:00:03 | User: admin | IP: 80.82.77.33 | Status: Failure
EventID: 4634 | Time: 2024-01-10 06:01:00 | User: alice | IP: 10.0.0.5 | Status: Logout
EventID: 4624 | Time: 2024-01-10 06:01:30 | User: bob | IP: 10.0.0.8 | Status: Success
EventID: 4625 | Time: 2024-01-10 07:00:00 | User: Administrator | IP: 91.121.93.96 | Status: Failure
